"Location: 51.8992, -2.1288"
"Date: 2023-09-05"
"Model: clear-sky"
"TZ: GMT+1"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2023-09-04T23:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-04T23:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-04T23:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-04T23:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-04T23:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-04T23:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T00:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T00:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T00:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T00:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T00:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T00:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T01:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T01:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T01:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T01:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T01:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T01:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T02:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T02:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T02:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T02:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T02:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T02:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T03:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T03:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T03:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T03:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T03:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T03:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T04:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T04:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T04:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T04:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T04:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T04:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T05:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T05:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T05:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T05:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T05:40:00.000Z,1.707,46.257,0.680,0.596,24.085,1.272
2023-09-05T05:50:00.000Z,15.956,145.793,8.849,6.988,15.885,2.794
2023-09-05T06:00:00.000Z,37.852,266.318,17.773,12.975,11.582,4.324
2023-09-05T06:10:00.000Z,62.885,381.017,23.990,20.268,9.023,5.859
2023-09-05T06:20:00.000Z,89.408,481.138,27.457,46.743,7.357,7.398
2023-09-05T06:30:00.000Z,116.700,566.002,28.757,79.314,6.197,8.939
2023-09-05T06:40:00.000Z,144.378,637.428,28.444,116.059,5.348,10.479
2023-09-05T06:50:00.000Z,172.213,697.669,26.944,155.570,4.703,12.018
2023-09-05T07:00:00.000Z,200.044,748.769,24.571,196.852,4.198,13.553
2023-09-05T07:10:00.000Z,227.753,792.421,21.553,239.197,3.793,15.083
2023-09-05T07:20:00.000Z,255.242,829.978,18.060,282.091,3.462,16.605
2023-09-05T07:30:00.000Z,282.429,862.514,14.220,325.150,3.188,18.117
2023-09-05T07:40:00.000Z,309.241,890.882,10.130,368.080,2.956,19.618
2023-09-05T07:50:00.000Z,335.610,915.758,5.868,410.645,2.760,21.105
2023-09-05T08:00:00.000Z,361.475,937.685,1.496,452.651,2.591,22.576
2023-09-05T08:10:00.000Z,389.713,957.101,0.000,497.318,2.444,24.028
2023-09-05T08:20:00.000Z,418.846,974.362,0.000,543.016,2.317,25.459
2023-09-05T08:30:00.000Z,447.291,989.760,0.000,587.863,2.205,26.867
2023-09-05T08:40:00.000Z,474.965,1003.536,0.000,631.687,2.106,28.248
2023-09-05T08:50:00.000Z,501.796,1015.891,0.000,674.334,2.019,29.600
2023-09-05T09:00:00.000Z,527.713,1026.992,0.000,715.662,1.941,30.920
2023-09-05T09:10:00.000Z,552.653,1036.979,0.000,755.543,1.872,32.205
