"Location: 51.8992, -2.1288"
"Date: 2025-03-02"
"Model: clear-sky"
"TZ: GMT"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2025-03-02T00:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T00:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T00:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T00:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T00:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T00:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T01:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T01:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T01:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T01:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T01:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T01:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T02:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T02:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T02:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T02:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T02:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T02:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T03:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T03:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T03:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T03:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T03:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T03:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T04:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T04:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T04:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T04:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T04:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T04:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T05:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T05:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T05:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T05:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T05:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T05:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T06:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T06:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T06:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T06:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T06:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T06:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T07:00:00.000Z,0.046,10.980,0.000,1.844,34.575,0.238
2025-03-02T07:10:00.000Z,4.801,74.620,2.531,18.747,20.888,1.743
2025-03-02T07:20:00.000Z,21.779,185.626,11.304,62.343,14.378,3.235
2025-03-02T07:30:00.000Z,43.982,305.660,18.873,118.290,10.816,4.712
2025-03-02T07:40:00.000Z,68.198,415.171,23.559,176.990,8.628,6.172
2025-03-02T07:50:00.000Z,93.202,509.252,25.727,234.659,7.169,7.614
2025-03-02T08:00:00.000Z,118.422,588.542,26.000,290.104,6.136,9.035
2025-03-02T08:10:00.000Z,143.547,655.169,24.904,343.084,5.370,10.433
2025-03-02T08:20:00.000Z,168.378,711.358,22.831,393.661,4.782,11.806
2025-03-02T08:30:00.000Z,192.781,759.031,20.066,441.971,4.319,13.153
2025-03-02T08:40:00.000Z,216.650,799.753,16.820,488.142,3.945,14.470
2025-03-02T08:50:00.000Z,239.903,834.766,13.247,532.275,3.639,15.755
2025-03-02T09:00:00.000Z,262.468,865.055,9.464,574.442,3.385,17.006
2025-03-02T09:10:00.000Z,284.283,891.398,5.563,614.687,3.170,18.221
2025-03-02T09:20:00.000Z,305.292,914.415,1.615,653.033,2.988,19.396
2025-03-02T09:30:00.000Z,327.768,934.604,0.000,693.437,2.832,20.530
2025-03-02T09:40:00.000Z,350.899,952.365,0.000,734.601,2.698,21.620
2025-03-02T09:50:00.000Z,372.988,968.027,0.000,773.698,2.581,22.663
2025-03-02T10:00:00.000Z,393.964,981.855,0.000,810.653,2.480,23.656
2025-03-02T10:10:00.000Z,413.762,994.070,0.000,845.394,2.392,24.597
2025-03-02T10:20:00.000Z,432.324,1004.853,0.000,877.855,2.315,25.483
2025-03-02T10:30:00.000Z,449.598,1014.357,0.000,907.973,2.247,26.310
2025-03-02T10:40:00.000Z,465.539,1022.707,0.000,935.693,2.189,27.078
2025-03-02T10:50:00.000Z,480.103,1030.009,0.000,960.963,2.138,27.782
2025-03-02T11:00:00.000Z,493.256,1036.351,0.000,983.735,2.094,28.422
2025-03-02T11:10:00.000Z,504.963,1041.805,0.000,1003.967,2.057,28.993
2025-03-02T11:20:00.000Z,515.196,1046.433,0.000,1021.622,2.025,29.494
2025-03-02T11:30:00.000Z,523.930,1050.284,0.000,1036.665,1.999,29.924
2025-03-02T11:40:00.000Z,531.146,1053.400,0.000,1049.070,1.978,30.280
2025-03-02T11:50:00.000Z,536.824,1055.810,0.000,1058.814,1.961,30.560
2025-03-02T12:00:00.000Z,540.953,1057.541,0.000,1065.877,1.950,30.765
2025-03-02T12:10:00.000Z,543.523,1058.609,0.000,1070.248,1.942,30.893
2025-03-02T12:20:00.000Z,544.527,1059.025,0.000,1071.919,1.940,30.943
2025-03-02T12:30:00.000Z,543.964,1058.792,0.000,1070.885,1.941,30.915
2025-03-02T12:40:00.000Z,541.835,1057.908,0.000,1067.150,1.947,30.809
2025-03-02T12:50:00.000Z,538.144,1056.366,0.000,1060.720,1.958,30.626
2025-03-02T13:00:00.000Z,532.902,1054.149,0.000,1051.608,1.973,30.366
2025-03-02T13:10:00.000Z,526.119,1051.236,0.000,1039.831,1.992,30.032
2025-03-02T13:20:00.000Z,517.812,1047.596,0.000,1025.410,2.017,29.623
2025-03-02T13:30:00.000Z,508.002,1043.193,0.000,1008.374,2.047,29.142
2025-03-02T13:40:00.000Z,496.711,1037.979,0.000,988.753,2.083,28.590
2025-03-02T13:50:00.000Z,483.967,1031.897,0.000,966.585,2.125,27.970
2025-03-02T14:00:00.000Z,469.803,1024.877,0.000,941.912,2.174,27.284
2025-03-02T14:10:00.000Z,454.253,1016.836,0.000,914.780,2.230,26.534
2025-03-02T14:20:00.000Z,437.359,1007.675,0.000,885.241,2.295,25.723
2025-03-02T14:30:00.000Z,419.166,997.273,0.000,853.350,2.369,24.854
2025-03-02T14:40:00.000Z,399.723,985.488,0.000,819.170,2.454,23.929
2025-03-02T14:50:00.000Z,379.087,972.147,0.000,782.764,2.551,22.951
2025-03-02T15:00:00.000Z,357.320,957.042,0.000,744.206,2.663,21.923
2025-03-02T15:10:00.000Z,334.493,939.922,0.000,703.570,2.792,20.847
2025-03-02T15:20:00.000Z,311.165,920.478,0.482,661.757,2.941,19.726
2025-03-02T15:30:00.000Z,290.411,898.335,4.429,623.903,3.115,18.563
2025-03-02T15:40:00.000Z,268.838,873.027,8.348,584.169,3.319,17.360
2025-03-02T15:50:00.000Z,246.501,843.973,12.170,542.538,3.561,16.120
2025-03-02T16:00:00.000Z,223.461,810.447,15.811,498.977,3.851,14.846
2025-03-02T16:10:00.000Z,199.784,771.534,19.164,453.428,4.202,13.539
2025-03-02T16:20:00.000Z,175.551,726.077,22.085,405.806,4.636,12.202
2025-03-02T16:30:00.000Z,150.858,672.617,24.383,355.999,5.182,10.838
2025-03-02T16:40:00.000Z,125.830,609.344,25.800,303.882,5.888,9.448
2025-03-02T16:50:00.000Z,100.642,534.114,25.978,249.373,6.829,8.036
2025-03-02T17:00:00.000Z,75.563,444.702,24.436,192.604,8.138,6.602
2025-03-02T17:10:00.000Z,51.060,339.780,20.567,134.395,10.060,5.149
2025-03-02T17:20:00.000Z,28.087,221.906,13.850,77.485,13.103,3.679
2025-03-02T17:30:00.000Z,8.994,104.976,4.977,29.242,18.450,2.193
2025-03-02T17:40:00.000Z,0.282,23.224,0.000,4.119,29.225,0.695
2025-03-02T17:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T18:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T18:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T18:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T18:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T18:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T18:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T19:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T19:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T19:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2025-03-02T19:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
